group,region,observable,bin_low,bin_high,last_bin_includes_overflow,raw,sumw,sumw2
data,ZEROb,met,110.0,150.0,False,1696,1696.0,1696.0
data,ZEROb,met,150.0,200.0,False,666,666.0,666.0
data,ZEROb,met,200.0,300.0,True,369,369.0,369.0
data,ZEROb,n_bjets,-0.5,0.5,False,10999,10999.0,10999.0
data,ZEROb,n_bjets,0.5,1.5,False,0,0.0,0.0
data,ZEROb,n_bjets,1.5,2.5,False,0,0.0,0.0
data,ZEROb,n_bjets,2.5,3.5,False,0,0.0,0.0
data,ZEROb,n_bjets,3.5,4.5,True,0,0.0,0.0
data,SS1b,electron_pt,25.0,35.0,False,38,38.0,38.0
data,SS1b,electron_pt,35.0,45.0,False,54,54.0,54.0
data,SS1b,electron_pt,45.0,60.0,False,81,81.0,81.0
data,SS1b,electron_pt,60.0,80.0,False,114,114.0,114.0
data,SS1b,electron_pt,80.0,110.0,False,96,96.0,96.0
data,SS1b,electron_pt,110.0,150.0,False,74,74.0,74.0
data,SS1b,electron_pt,150.0,200.0,False,32,32.0,32.0
data,SS1b,electron_pt,200.0,300.0,True,24,24.0,24.0
data,SS1b,muon_pt,25.0,35.0,False,80,80.0,80.0
data,SS1b,muon_pt,35.0,45.0,False,81,81.0,81.0
data,SS1b,muon_pt,45.0,60.0,False,102,102.0,102.0
data,SS1b,muon_pt,60.0,80.0,False,95,95.0,95.0
data,SS1b,muon_pt,80.0,110.0,False,77,77.0,77.0
data,SS1b,muon_pt,110.0,150.0,False,48,48.0,48.0
data,SS1b,muon_pt,150.0,200.0,False,15,15.0,15.0
data,SS1b,muon_pt,200.0,300.0,True,15,15.0,15.0
data,SS1b,n_jets,1.5,2.5,False,243,243.0,243.0
data,SS1b,n_jets,2.5,3.5,False,164,164.0,164.0
data,SS1b,n_jets,3.5,4.5,False,64,64.0,64.0
data,SS1b,n_jets,4.5,5.5,False,30,30.0,30.0
data,SS1b,n_jets,5.5,6.5,False,9,9.0,9.0
data,SS1b,n_jets,6.5,7.5,True,3,3.0,3.0
data,SS1b,delta_phi,0.0,0.2617993877991494,False,21,21.0,21.0
data,SS1b,delta_phi,0.2617993877991494,0.5235987755982988,False,23,23.0,23.0
data,SS1b,delta_phi,0.5235987755982988,0.7853981633974483,False,32,32.0,32.0
data,SS1b,delta_phi,0.7853981633974483,1.0471975511965976,False,34,34.0,34.0
data,SS1b,delta_phi,1.0471975511965976,1.308996938995747,False,38,38.0,38.0
